0,1,2,3,4,5,6,7,8,9,10
grapes,root vegetables,,,,,,,,,
salty snack,napkins,sugar,,,,,,,,
whole milk,canned beer,,,,,,,,,
photo/film,whole milk,,,,,,,,,
whole milk,dishes,,,,,,,,,
meat,sausage,salty snack,white wine,frozen vegetables,beverages,,,,,
citrus fruit,pot plants,newspapers,,,,,,,,
pork,whole milk,other vegetables,tidbits,coffee,,,,,,
waffles,whole milk,,,,,,,,,
butter,tropical fruit,whole milk,napkins,,,,,,,
frankfurter,bottled water,,,,,,,,,
pip fruit,candy,,,,,,,,,
frozen meals,fruit/vegetable juice,,,,,,,,,
whole milk,soda,other vegetables,,,,,,,,
bottled water,newspapers,,,,,,,,,
yogurt,hygiene articles,,,,,,,,,
pip fruit,root vegetables,,,,,,,,,
curd,pip fruit,,,,,,,,,
pot plants,citrus fruit,whipped/sour cream,,,,,,,,
soda,rolls/buns,,,,,,,,,
pastry,white bread,,,,,,,,,
pip fruit,white bread,,,,,,,,,
candy,tropical fruit,rolls/buns,,,,,,,,
tropical fruit,soda,,,,,,,,,
citrus fruit,salt,,,,,,,,,
whole milk,brown bread,,,,,,,,,
brown bread,soda,,,,,,,,,
root vegetables,ice cream,,,,,,,,,
rolls/buns,rum,,,,,,,,,
pip fruit,frozen meals,,,,,,,,,
yogurt,curd,,,,,,,,,
sausage,beverages,,,,,,,,,
butter,bottled water,,,,,,,,,
waffles,curd,,,,,,,,,
soft cheese,long life bakery product,,,,,,,,,
tea,light bulbs,,,,,,,,,
sausage,fish,,,,,,,,,
other vegetables,whole milk,,,,,,,,,
sausage,semi-finished bread,,,,,,,,,
dessert,curd,,,,,,,,,
whole milk,whole milk,,,,,,,,,
pip fruit,citrus fruit,other vegetables,white wine,frozen vegetables,,,,,,
sugar,canned vegetables,,,,,,,,,
whole milk,sausage,yogurt,other vegetables,misc. beverages,,,,,,
frankfurter,pip fruit,rolls/buns,,,,,,,,
newspapers,beef,,,,,,,,,
hamburger meat,sugar,,,,,,,,,
long life bakery product,other vegetables,,,,,,,,,
white wine,newspapers,,,,,,,,,
tropical fruit,other vegetables,berries,butter,,,,,,,
tropical fruit,yogurt,,,,,,,,,
whole milk,margarine,,,,,,,,,
citrus fruit,rolls/buns,,,,,,,,,
pork,brown bread,,,,,,,,,
napkins,whole milk,,,,,,,,,
pork,shopping bags,,,,,,,,,
root vegetables,salty snack,,,,,,,,,
ham,whole milk,,,,,,,,,
UHT-milk,herbs,newspapers,,,,,,,,
pip fruit,cream cheese ,,,,,,,,,
rolls/buns,whipped/sour cream,,,,,,,,,
soda,cream cheese ,,,,,,,,,
berries,pastry,soda,,,,,,,,
whipped/sour cream,other vegetables,,,,,,,,,
citrus fruit,onions,,,,,,,,,
nuts/prunes,margarine,,,,,,,,,
bottled water,beverages,,,,,,,,,
bottled beer,grapes,other vegetables,bottled water,,,,,,,
yogurt,canned beer,,,,,,,,,
pip fruit,rolls/buns,,,,,,,,,
other vegetables,whole milk,sliced cheese,,,,,,,,
soda,frozen dessert,,,,,,,,,
citrus fruit,soda,berries,coffee,sugar,,,,,,
whole milk,pip fruit,,,,,,,,,
sausage,berries,rolls/buns,,,,,,,,
coffee,napkins,,,,,,,,,
canned beer,curd,,,,,,,,,
root vegetables,semi-finished bread,,,,,,,,,
whole milk,soda,mustard,,,,,,,,
whipped/sour cream,whipped/sour cream,fruit/vegetable juice,,,,,,,,
sausage,beverages,,,,,,,,,
sausage,packaged fruit/vegetables,misc. beverages,,,,,,,,
citrus fruit,beef,whipped/sour cream,other vegetables,,,,,,,
bottled water,yogurt,tropical fruit,whole milk,,,,,,,
fish,root vegetables,tropical fruit,other vegetables,,,,,,,
soda,butter,,,,,,,,,
flower (seeds),bottled beer,,,,,,,,,
specialty bar,shopping bags,pasta,,,,,,,,
sausage,whole milk,,,,,,,,,
root vegetables,frozen vegetables,,,,,,,,,
frankfurter,other vegetables,,,,,,,,,
soda,yogurt,white bread,,,,,,,,
canned beer,fruit/vegetable juice,,,,,,,,,
rolls/buns,soda,other vegetables,pip fruit,,,,,,,
pip fruit,other vegetables,,,,,,,,,
citrus fruit,meat,,,,,,,,,
hamburger meat,tropical fruit,bottled water,whipped/sour cream,flour,,,,,,
hamburger meat,chocolate,processed cheese,,,,,,,,
other vegetables,dessert,other vegetables,fruit/vegetable juice,,,,,,,
misc. beverages,rolls/buns,frozen vegetables,beverages,condensed milk,,,,,,
sausage,bottled beer,dessert,butter,cream cheese ,other vegetables,canned beer,brown bread,,,
other vegetables,bottled water,,,,,,,,,
pip fruit,turkey,yogurt,root vegetables,other vegetables,chocolate,fruit/vegetable juice,,,,
newspapers,waffles,shopping bags,,,,,,,,
cocoa drinks,bottled water,sweet spreads,,,,,,,,
Instant food products,pip fruit,,,,,,,,,
chocolate,domestic eggs,,,,,,,,,
sausage,grapes,sliced cheese,napkins,,,,,,,
butter,whole milk,root vegetables,butter,,,,,,,
frozen dessert,tropical fruit,,,,,,,,,
yogurt,other vegetables,,,,,,,,,
pip fruit,white bread,rolls/buns,,,,,,,,
domestic eggs,soda,,,,,,,,,
berries,oil,cat food,,,,,,,,
chicken,pip fruit,,,,,,,,,
hamburger meat,soda,cling film/bags,,,,,,,,
brown bread,white wine,,,,,,,,,
pork,brown bread,,,,,,,,,
UHT-milk,herbs,butter,oil,,,,,,,
beef,semi-finished bread,,,,,,,,,
newspapers,whole milk,,,,,,,,,
curd,specialty chocolate,,,,,,,,,
dessert,shopping bags,,,,,,,,,
citrus fruit,pastry,dish cleaner,,,,,,,,
ham,waffles,,,,,,,,,
ham,newspapers,waffles,,,,,,,,
root vegetables,detergent,,,,,,,,,
whole milk,processed cheese,pastry,,,,,,,,
oil,whipped/sour cream,specialty cheese,soda,beverages,,,,,,
soda,shopping bags,,,,,,,,,
other vegetables,whole milk,,,,,,,,,
tropical fruit,napkins,long life bakery product,,,,,,,,
hamburger meat,rolls/buns,,,,,,,,,
tropical fruit,root vegetables,,,,,,,,,
butter milk,yogurt,yogurt,margarine,,,,,,,
sausage,semi-finished bread,coffee,,,,,,,,
sausage,whole milk,whipped/sour cream,domestic eggs,,,,,,,
soda,pip fruit,hygiene articles,oil,,,,,,,
hamburger meat,coffee,,,,,,,,,
margarine,yogurt,,,,,,,,,
frankfurter,whipped/sour cream,,,,,,,,,
whole milk,root vegetables,,,,,,,,,
butter,roll products ,,,,,,,,,
other vegetables,hard cheese,chocolate,,,,,,,,
UHT-milk,canned fish,,,,,,,,,
ham,chicken,condensed milk,other vegetables,whipped/sour cream,,,,,,
root vegetables,ham,,,,,,,,,
rolls/buns,rolls/buns,,,,,,,,,
whole milk,berries,,,,,,,,,
curd,citrus fruit,,,,,,,,,
root vegetables,pickled vegetables,,,,,,,,,
frozen meals,brown bread,dishes,,,,,,,,
root vegetables,sausage,root vegetables,other vegetables,long life bakery product,,,,,,
chocolate,seasonal products,rolls/buns,,,,,,,,
root vegetables,whipped/sour cream,chocolate,,,,,,,,
canned beer,chocolate,,,,,,,,,
sausage,bottled water,,,,,,,,,
citrus fruit,brown bread,,,,,,,,,
canned beer,cream cheese ,,,,,,,,,
butter,condensed milk,,,,,,,,,
butter,flour,fruit/vegetable juice,fruit/vegetable juice,,,,,,,
root vegetables,sausage,brown bread,UHT-milk,sliced cheese,frozen vegetables,white bread,,,,
tropical fruit,frozen vegetables,,,,,,,,,
soda,specialty bar,,,,,,,,,
soda,hard cheese,,,,,,,,,
other vegetables,rolls/buns,soda,,,,,,,,
soda,whole milk,shopping bags,,,,,,,,
newspapers,napkins,,,,,,,,,
whole milk,other vegetables,,,,,,,,,
ham,whole milk,brown bread,,,,,,,,
whole milk,specialty chocolate,,,,,,,,,
sausage,whole milk,,,,,,,,,
fruit/vegetable juice,root vegetables,,,,,,,,,
margarine,misc. beverages,,,,,,,,,
whole milk,UHT-milk,,,,,,,,,
coffee,other vegetables,,,,,,,,,
sausage,UHT-milk,candles,chewing gum,bottled beer,artif. sweetener,butter,,,,
rolls/buns,bottled water,,,,,,,,,
whole milk,frozen vegetables,,,,,,,,,
bottled beer,yogurt,other vegetables,,,,,,,,
sausage,dessert,,,,,,,,,
turkey,chocolate,,,,,,,,,
soda,packaged fruit/vegetables,butter milk,,,,,,,,
salt,domestic eggs,,,,,,,,,
whole milk,sugar,,,,,,,,,
root vegetables,canned beer,,,,,,,,,
whole milk,sliced cheese,,,,,,,,,
frankfurter,soda,,,,,,,,,
processed cheese,salty snack,,,,,,,,,
pastry,rolls/buns,sliced cheese,tropical fruit,liquor,hygiene articles,dental care,napkins,,,
other vegetables,soda,,,,,,,,,
rolls/buns,domestic eggs,,,,,,,,,
citrus fruit,cleaner,,,,,,,,,
other vegetables,yogurt,,,,,,,,,
yogurt,pasta,butter,rolls/buns,,,,,,,
pastry,berries,,,,,,,,,
butter,beef,,,,,,,,,
sausage,canned beer,newspapers,tropical fruit,newspapers,,,,,,
tropical fruit,detergent,,,,,,,,,
domestic eggs,roll products ,,,,,,,,,
root vegetables,other vegetables,bottled beer,softener,,,,,,,
whole milk,candy,,,,,,,,,
hygiene articles,vinegar,,,,,,,,,
long life bakery product,soda,,,,,,,,,
onions,soft cheese,,,,,,,,,
berries,white bread,,,,,,,,,
mayonnaise,curd,,,,,,,,,
meat spreads,mayonnaise,,,,,,,,,
hamburger meat,pasta,,,,,,,,,
herbs,rum,,,,,,,,,
frozen meals,mustard,,,,,,,,,
sausage,newspapers,,,,,,,,,
tropical fruit,cream cheese ,,,,,,,,,
root vegetables,salty snack,,,,,,,,,
berries,specialty cheese,,,,,,,,,
whole milk,shopping bags,,,,,,,,,
tropical fruit,shopping bags,,,,,,,,,
soda,butter,,,,,,,,,
beef,chocolate,,,,,,,,,
whole milk,rolls/buns,,,,,,,,,
yogurt,whole milk,ham,citrus fruit,frozen vegetables,whole milk,,,,,
soda,butter,,,,,,,,,
onions,domestic eggs,shopping bags,,,,,,,,
liqueur,whole milk,onions,soda,,,,,,,
citrus fruit,beef,,,,,,,,,
other vegetables,cereals,,,,,,,,,
whole milk,tropical fruit,,,,,,,,,
red/blush wine,butter,soda,,,,,,,,
whole milk,grapes,,,,,,,,,
liqueur,whole milk,,,,,,,,,
pip fruit,shopping bags,,,,,,,,,
frankfurter,whipped/sour cream,citrus fruit,whole milk,dishes,,,,,,
curd,cereals,,,,,,,,,
whole milk,hamburger meat,,,,,,,,,
cream cheese ,pip fruit,citrus fruit,chicken,other vegetables,curd,specialty chocolate,pastry,,,
bottled water,frozen vegetables,,,,,,,,,
bottled beer,frozen dessert,rolls/buns,berries,rice,white bread,,,,,
pip fruit,other vegetables,,,,,,,,,
whole milk,salty snack,margarine,,,,,,,,
rolls/buns,whole milk,,,,,,,,,
canned beer,sugar,hygiene articles,whole milk,,,,,,,
newspapers,other vegetables,,,,,,,,,
tropical fruit,whole milk,vinegar,,,,,,,,
tropical fruit,margarine,,,,,,,,,
beef,yogurt,,,,,,,,,
liquor (appetizer),hygiene articles,,,,,,,,,
berries,beverages,,,,,,,,,
beef,sweet spreads,,,,,,,,,
soda,pip fruit,coffee,,,,,,,,
tea,coffee,,,,,,,,,
pastry,coffee,,,,,,,,,
bottled water,long life bakery product,soda,,,,,,,,
ice cream,salty snack,,,,,,,,,
tropical fruit,mayonnaise,other vegetables,meat,roll products ,napkins,frozen meals,newspapers,,,
other vegetables,bottled water,,,,,,,,,
sausage,tropical fruit,margarine,,,,,,,,
pip fruit,soda,,,,,,,,,
root vegetables,white bread,,,,,,,,,
soda,other vegetables,,,,,,,,,
flour,grapes,frankfurter,bottled beer,citrus fruit,grapes,other vegetables,cat food,frozen vegetables,,
pork,pastry,,,,,,,,,
chewing gum,misc. beverages,,,,,,,,,
newspapers,chicken,pip fruit,,,,,,,,
sausage,sliced cheese,yogurt,pastry,hygiene articles,,,,,,
ice cream,napkins,,,,,,,,,
tropical fruit,yogurt,,,,,,,,,
citrus fruit,rolls/buns,,,,,,,,,
citrus fruit,yogurt,,,,,,,,,
pork,bottled beer,butter,,,,,,,,
sausage,other vegetables,,,,,,,,,
tropical fruit,frozen dessert,napkins,,,,,,,,
chicken,house keeping products,,,,,,,,,
rolls/buns,pip fruit,,,,,,,,,
whole milk,bottled beer,rolls/buns,domestic eggs,semi-finished bread,fruit/vegetable juice,,,,,
rolls/buns,oil,,,,,,,,,
ice cream,curd,,,,,,,,,
turkey,domestic eggs,,,,,,,,,
red/blush wine,bottled water,,,,,,,,,
other vegetables,yogurt,,,,,,,,,
rice,jam,,,,,,,,,
frankfurter,domestic eggs,,,,,,,,,
tropical fruit,white wine,bottled beer,,,,,,,,
other vegetables,whipped/sour cream,,,,,,,,,
butter,soda,,,,,,,,,
frozen vegetables,brown bread,rolls/buns,,,,,,,,
pork,bottled beer,,,,,,,,,
yogurt,salt,,,,,,,,,
pip fruit,soda,detergent,,,,,,,,
frankfurter,mustard,,,,,,,,,
other vegetables,soft cheese,,,,,,,,,
whole milk,whipped/sour cream,whole milk,yogurt,whipped/sour cream,,,,,,
frozen dessert,berries,,,,,,,,,
frankfurter,rolls/buns,,,,,,,,,
long life bakery product,hard cheese,,,,,,,,,
root vegetables,beef,,,,,,,,,
whole milk,shopping bags,,,,,,,,,
whipped/sour cream,soda,,,,,,,,,
mayonnaise,tropical fruit,packaged fruit/vegetables,beverages,cereals,,,,,,
pork,pip fruit,,,,,,,,,
other vegetables,napkins,,,,,,,,,
frozen vegetables,frozen vegetables,,,,,,,,,
tropical fruit,shopping bags,,,,,,,,,
rolls/buns,rolls/buns,,,,,,,,,
chewing gum,rolls/buns,,,,,,,,,
newspapers,fruit/vegetable juice,waffles,,,,,,,,
bottled beer,pip fruit,,,,,,,,,
other vegetables,soda,frozen potato products,,,,,,,,
UHT-milk,berries,,,,,,,,,
pastry,liquor,,,,,,,,,
hamburger meat,coffee,,,,,,,,,
pork,rolls/buns,,,,,,,,,
ham,whipped/sour cream,,,,,,,,,
pip fruit,other vegetables,rolls/buns,,,,,,,,
tropical fruit,canned beer,,,,,,,,,
curd,ice cream,,,,,,,,,
frozen vegetables,rolls/buns,,,,,,,,,
tropical fruit,beverages,,,,,,,,,
whole milk,onions,,,,,,,,,
other vegetables,whole milk,brown bread,hard cheese,waffles,,,,,,
whole milk,rolls/buns,,,,,,,,,
other vegetables,cooking chocolate,,,,,,,,,
citrus fruit,beef,coffee,,,,,,,,
canned vegetables,dental care,,,,,,,,,
photo/film,pork,liquor,,,,,,,,
other vegetables,canned fish,,,,,,,,,
rolls/buns,tropical fruit,,,,,,,,,
tropical fruit,frozen fish,,,,,,,,,
rolls/buns,chicken,,,,,,,,,
pastry,whole milk,,,,,,,,,
seasonal products,soups,,,,,,,,,
hamburger meat,other vegetables,,,,,,,,,
pip fruit,whole milk,margarine,,,,,,,,
rolls/buns,root vegetables,root vegetables,pastry,cake bar,canned fish,,,,,
sausage,beverages,,,,,,,,,
yogurt,whipped/sour cream,,,,,,,,,
pork,tropical fruit,whole milk,chewing gum,,,,,,,
pork,cream cheese ,yogurt,,,,,,,,
hamburger meat,ice cream,,,,,,,,,
other vegetables,soda,,,,,,,,,
sausage,newspapers,,,,,,,,,
oil,chicken,,,,,,,,,
onions,hygiene articles,,,,,,,,,
ham,whole milk,shopping bags,,,,,,,,
pip fruit,whipped/sour cream,,,,,,,,,
citrus fruit,rolls/buns,frozen vegetables,,,,,,,,
onions,pastry,,,,,,,,,
bottled water,liquor (appetizer),,,,,,,,,
canned beer,domestic eggs,,,,,,,,,
ham,whole milk,,,,,,,,,
other vegetables,shopping bags,,,,,,,,,
bottled beer,whipped/sour cream,,,,,,,,,
tropical fruit,whole milk,long life bakery product,rum,,,,,,,
other vegetables,whole milk,rolls/buns,other vegetables,bottled water,whole milk,yogurt,other vegetables,,,
red/blush wine,other vegetables,rolls/buns,,,,,,,,
tropical fruit,chocolate,,,,,,,,,
pip fruit,white bread,sliced cheese,,,,,,,,
yogurt,newspapers,,,,,,,,,
soda,specialty cheese,napkins,,,,,,,,
chocolate,sliced cheese,bottled water,oil,,,,,,,
seasonal products,onions,,,,,,,,,
other vegetables,domestic eggs,,,,,,,,,
pickled vegetables,cream cheese ,,,,,,,,,
whole milk,margarine,,,,,,,,,
whole milk,brandy,brown bread,,,,,,,,
whipped/sour cream,curd,,,,,,,,,
whole milk,fruit/vegetable juice,,,,,,,,,
citrus fruit,bottled beer,,,,,,,,,
rolls/buns,detergent,,,,,,,,,
ham,specialty bar,,,,,,,,,
pastry,specialty bar,,,,,,,,,
root vegetables,soda,,,,,,,,,
other vegetables,newspapers,waffles,,,,,,,,
beverages,sugar,,,,,,,,,
coffee,berries,,,,,,,,,
soda,soda,,,,,,,,,
beef,yogurt,,,,,,,,,
tropical fruit,onions,,,,,,,,,
tropical fruit,pastry,,,,,,,,,
pasta,shopping bags,,,,,,,,,
tropical fruit,rolls/buns,root vegetables,,,,,,,,
pork,sliced cheese,,,,,,,,,
other vegetables,rolls/buns,specialty cheese,,,,,,,,
whipped/sour cream,whole milk,,,,,,,,,
abrasive cleaner,yogurt,frozen meals,,,,,,,,
pastry,dish cleaner,,,,,,,,,
whole milk,other vegetables,,,,,,,,,
berries,specialty bar,,,,,,,,,
rolls/buns,grapes,yogurt,rolls/buns,whole milk,rolls/buns,,,,,
pork,whole milk,,,,,,,,,
pot plants,misc. beverages,baking powder,,,,,,,,
pork,pickled vegetables,,,,,,,,,
citrus fruit,citrus fruit,,,,,,,,,
soda,pastry,rolls/buns,,,,,,,,
meat,butter,,,,,,,,,
pork,canned beer,,,,,,,,,
grapes,other vegetables,domestic eggs,,,,,,,,
canned beer,whipped/sour cream,,,,,,,,,
UHT-milk,curd,flower (seeds),,,,,,,,
pastry,whole milk,,,,,,,,,
pork,soda,,,,,,,,,
bottled beer,liver loaf,bottled water,pastry,,,,,,,
whole milk,dental care,,,,,,,,,
rolls/buns,white wine,,,,,,,,,
berries,curd,specialty cheese,,,,,,,,
bottled water,root vegetables,bottled beer,pastry,,,,,,,
packaged fruit/vegetables,specialty bar,whipped/sour cream,,,,,,,,
whole milk,turkey,long life bakery product,,,,,,,,
sausage,sausage,bottled beer,spread cheese,,,,,,,
pip fruit,cake bar,,,,,,,,,
frankfurter,frankfurter,butter,domestic eggs,margarine,other vegetables,,,,,
whipped/sour cream,misc. beverages,,,,,,,,,
sausage,rolls/buns,curd,salty snack,whipped/sour cream,hard cheese,,,,,
root vegetables,ham,butter,brown bread,pastry,spread cheese,,,,,
rolls/buns,cling film/bags,,,,,,,,,
onions,frozen dessert,,,,,,,,,
potato products,waffles,newspapers,,,,,,,,
sausage,meat,beverages,UHT-milk,frozen dessert,sugar,,,,,
ham,yogurt,,,,,,,,,
brown bread,brown bread,,,,,,,,,
tropical fruit,photo/film,,,,,,,,,
shopping bags,yogurt,,,,,,,,,
butter,specialty chocolate,frozen meals,,,,,,,,
canned beer,whipped/sour cream,,,,,,,,,
rolls/buns,margarine,whole milk,liquor (appetizer),,,,,,,
UHT-milk,tropical fruit,,,,,,,,,
curd,brown bread,,,,,,,,,
chicken,abrasive cleaner,,,,,,,,,
citrus fruit,white wine,,,,,,,,,
pip fruit,specialty chocolate,,,,,,,,,
beef,specialty chocolate,,,,,,,,,
whole milk,pastry,seasonal products,berries,long life bakery product,yogurt,coffee,,,,
butter,whipped/sour cream,,,,,,,,,
dishes,yogurt,,,,,,,,,
whole milk,whipped/sour cream,,,,,,,,,
bottled water,whole milk,,,,,,,,,
whole milk,whole milk,,,,,,,,,
misc. beverages,onions,,,,,,,,,
citrus fruit,ham,red/blush wine,rolls/buns,specialty chocolate,,,,,,
soap,yogurt,,,,,,,,,
other vegetables,frozen meals,,,,,,,,,
turkey,ham,whole milk,citrus fruit,pastry,soda,,,,,
whole milk,white bread,,,,,,,,,
brown bread,pet care,,,,,,,,,
UHT-milk,tropical fruit,,,,,,,,,
butter milk,frozen vegetables,,,,,,,,,
frankfurter,yogurt,,,,,,,,,
pork,rolls/buns,,,,,,,,,
root vegetables,yogurt,sparkling wine,,,,,,,,
long life bakery product,waffles,,,,,,,,,
sausage,dishes,rum,,,,,,,,
pork,butter,,,,,,,,,
pork,soda,other vegetables,ice cream,,,,,,,
root vegetables,specialty bar,,,,,,,,,
frankfurter,UHT-milk,,,,,,,,,
napkins,skin care,,,,,,,,,
frozen meals,napkins,,,,,,,,,
onions,curd,,,,,,,,,
ham,canned beer,salty snack,,,,,,,,
soda,hamburger meat,,,,,,,,,
sausage,sausage,frankfurter,sausage,whole milk,other vegetables,hygiene articles,shopping bags,shopping bags,,
whole milk,liver loaf,yogurt,fruit/vegetable juice,,,,,,,
frankfurter,margarine,,,,,,,,,
canned beer,fruit/vegetable juice,,,,,,,,,
salty snack,sugar,,,,,,,,,
citrus fruit,brown bread,,,,,,,,,
rolls/buns,yogurt,,,,,,,,,
root vegetables,newspapers,,,,,,,,,
pork,frozen meals,,,,,,,,,
other vegetables,whipped/sour cream,,,,,,,,,
whole milk,newspapers,,,,,,,,,
sausage,margarine,,,,,,,,,
citrus fruit,pastry,other vegetables,pastry,,,,,,,
coffee,roll products ,,,,,,,,,
bottled water,pastry,,,,,,,,,
pip fruit,flour,other vegetables,,,,,,,,
roll products ,whole milk,tropical fruit,rolls/buns,rolls/buns,,,,,,
citrus fruit,waffles,,,,,,,,,
tropical fruit,popcorn,,,,,,,,,
candy,other vegetables,,,,,,,,,
tropical fruit,other vegetables,dessert,,,,,,,,
whole milk,beef,beverages,yogurt,,,,,,,
root vegetables,curd,,,,,,,,,
other vegetables,yogurt,whipped/sour cream,napkins,,,,,,,
grapes,soda,,,,,,,,,
brown bread,pastry,,,,,,,,,
chicken,white bread,,,,,,,,,
chicken,sugar,,,,,,,,,
whole milk,bottled water,coffee,,,,,,,,
other vegetables,brown bread,,,,,,,,,
frozen vegetables,flour,,,,,,,,,
root vegetables,sweet spreads,,,,,,,,,
yogurt,domestic eggs,pasta,,,,,,,,
citrus fruit,citrus fruit,soda,,,,,,,,
other vegetables,soda,,,,,,,,,
rolls/buns,female sanitary products,,,,,,,,,
liver loaf,soda,,,,,,,,,
soda,flour,,,,,,,,,
pip fruit,soda,jam,,,,,,,,
whole milk,bottled water,,,,,,,,,
domestic eggs,whole milk,fruit/vegetable juice,,,,,,,,
hard cheese,sugar,bottled water,,,,,,,,
bottled water,hair spray,processed cheese,,,,,,,,
frankfurter,specialty bar,,,,,,,,,
rolls/buns,rum,,,,,,,,,
root vegetables,spread cheese,,,,,,,,,
canned beer,misc. beverages,long life bakery product,,,,,,,,
whole milk,newspapers,,,,,,,,,
whole milk,herbs,rolls/buns,cake bar,,,,,,,
margarine,frozen meals,dish cleaner,yogurt,,,,,,,
salty snack,rolls/buns,,,,,,,,,
onions,sugar,mustard,rolls/buns,,,,,,,
sausage,UHT-milk,,,,,,,,,
cat food,newspapers,,,,,,,,,
processed cheese,brandy,,,,,,,,,
beverages,tropical fruit,,,,,,,,,
ice cream,citrus fruit,soda,,,,,,,,
dessert,root vegetables,,,,,,,,,
hamburger meat,cleaner,,,,,,,,,
frozen meals,dental care,,,,,,,,,
whipped/sour cream,cream cheese ,,,,,,,,,
rolls/buns,tropical fruit,,,,,,,,,
pastry,tropical fruit,sugar,sauces,bottled water,sliced cheese,,,,,
sausage,curd,,,,,,,,,
beef,flour,,,,,,,,,
bottled water,margarine,onions,other vegetables,whole milk,,,,,,
bottled water,frozen potato products,,,,,,,,,
sausage,chocolate,,,,,,,,,
whole milk,whipped/sour cream,,,,,,,,,
beef,frozen vegetables,coffee,,,,,,,,
whole milk,other vegetables,,,,,,,,,
other vegetables,frozen fish,,,,,,,,,
whipped/sour cream,pastry,,,,,,,,,
root vegetables,frozen vegetables,rolls/buns,,,,,,,,
frankfurter,ice cream,soda,,,,,,,,
frozen vegetables,pip fruit,hygiene articles,,,,,,,,
house keeping products,whole milk,,,,,,,,,
pip fruit,candles,,,,,,,,,
hamburger meat,liquor (appetizer),liver loaf,dessert,,,,,,,
cream cheese ,whole milk,candy,,,,,,,,
beef,waffles,,,,,,,,,
hamburger meat,hard cheese,,,,,,,,,
rolls/buns,canned beer,,,,,,,,,
ice cream,pastry,,,,,,,,,
kitchen towels,bottled beer,,,,,,,,,
shopping bags,hygiene articles,,,,,,,,,
chicken,frozen vegetables,candy,,,,,,,,
soda,berries,,,,,,,,,
bottled beer,whole milk,citrus fruit,other vegetables,soft cheese,,,,,,
other vegetables,sausage,tropical fruit,whipped/sour cream,salty snack,oil,,,,,
hard cheese,whipped/sour cream,,,,,,,,,
UHT-milk,canned fish,root vegetables,waffles,,,,,,,
tropical fruit,grapes,,,,,,,,,
root vegetables,soda,hygiene articles,,,,,,,,
sausage,sausage,,,,,,,,,
pastry,chocolate,,,,,,,,,
meat,bottled beer,liquor,waffles,,,,,,,
whole milk,pickled vegetables,,,,,,,,,
rolls/buns,bottled beer,,,,,,,,,
frankfurter,sliced cheese,,,,,,,,,
hard cheese,rolls/buns,white wine,,,,,,,,
oil,yogurt,,,,,,,,,
sugar,curd,,,,,,,,,
sausage,other vegetables,oil,candy,,,,,,,
soda,dessert,dishes,sugar,,,,,,,
chocolate,whipped/sour cream,bottled beer,,,,,,,,
tropical fruit,organic products,,,,,,,,,
rolls/buns,ice cream,,,,,,,,,
rolls/buns,brown bread,canned beer,,,,,,,,
other vegetables,pickled vegetables,,,,,,,,,
beef,sparkling wine,frozen fish,chewing gum,,,,,,,
chicken,frozen meals,,,,,,,,,
pip fruit,whole milk,brown bread,,,,,,,,
white bread,shopping bags,,,,,,,,,
canned beer,coffee,,,,,,,,,
white wine,sauces,,,,,,,,,
chewing gum,UHT-milk,,,,,,,,,
pastry,curd,,,,,,,,,
canned beer,tropical fruit,pet care,,,,,,,,
frozen meals,sausage,pastry,yogurt,,,,,,,
herbs,brown bread,,,,,,,,,
yogurt,yogurt,,,,,,,,,
pork,bottled beer,,,,,,,,,
frozen meals,rolls/buns,canned beer,coffee,soda,,,,,,
pip fruit,dog food,soft cheese,packaged fruit/vegetables,pastry,domestic eggs,,,,,
pip fruit,domestic eggs,seasonal products,,,,,,,,
organic sausage,bottled water,,,,,,,,,
potato products,oil,,,,,,,,,
rolls/buns,coffee,,,,,,,,,
soda,soft cheese,oil,,,,,,,,
brandy,pastry,,,,,,,,,
sausage,margarine,,,,,,,,,
beef,newspapers,,,,,,,,,
sausage,pip fruit,spices,,,,,,,,
rolls/buns,house keeping products,,,,,,,,,
rolls/buns,bottled water,,,,,,,,,
other vegetables,whipped/sour cream,whole milk,sugar,,,,,,,
bottled beer,whole milk,,,,,,,,,
whipped/sour cream,other vegetables,,,,,,,,,
tropical fruit,bottled water,,,,,,,,,
sausage,fruit/vegetable juice,pot plants,,,,,,,,
photo/film,onions,,,,,,,,,
whole milk,baking powder,,,,,,,,,
pip fruit,nut snack,napkins,,,,,,,,
ham,yogurt,hard cheese,rolls/buns,,,,,,,
frozen fish,whole milk,tropical fruit,butter,coffee,,,,,,
tropical fruit,UHT-milk,,,,,,,,,
chocolate,whole milk,,,,,,,,,
frankfurter,red/blush wine,other vegetables,,,,,,,,
frankfurter,chicken,rolls/buns,frankfurter,other vegetables,coffee,long life bakery product,domestic eggs,,,
coffee,misc. beverages,,,,,,,,,
misc. beverages,newspapers,,,,,,,,,
tropical fruit,newspapers,,,,,,,,,
frankfurter,newspapers,,,,,,,,,
whipped/sour cream,root vegetables,baking powder,,,,,,,,
root vegetables,frozen meals,shopping bags,margarine,,,,,,,
sausage,yogurt,candles,,,,,,,,
yogurt,brown bread,,,,,,,,,
canned beer,tropical fruit,,,,,,,,,
baking powder,soda,,,,,,,,,
other vegetables,root vegetables,,,,,,,,,
cookware,cream cheese ,,,,,,,,,
whipped/sour cream,soft cheese,,,,,,,,,
hamburger meat,dessert,newspapers,,,,,,,,
